"method","theta_var_emp","theta_var_hat_mean","theta_ratio","y_minus_theta_var_emp_mean","y_minus_theta_var_hat_mean","y_minus_theta_ratio","ybar_minus_theta_var_emp","ybar_minus_theta_var_hat_mean","ybar_minus_theta_ratio"
"precision",0.00736819766150415,0.00557752894965536,0.756973306891005,0.0313643136224389,0.0300086015120453,0.956775329863311,0.0021814169154186,0.00047112545108362,0.215972218677517
"irls_fixed",0.00736819766150415,0.00588530991654227,0.798744847371648,0.0313643136224389,0.0303487991401347,0.967621976539042,0.0021814169154186,0.00081132307917305,0.371924813380923
"irls_theta0",0.00736819766150415,0.00597953999772096,0.811533603253023,0.0313643136224389,0.0303950664969093,0.969097135770377,0.0021814169154186,0.000857590435947652,0.393134586005118
"psi_prime",0.00736819766150415,0.0121872172529411,1.65402963015153,0.0313643136224389,0.0367186523389273,1.17071435966824,0.0021814169154186,0.0071811762779656,3.29197790078912
"psi_prime_clamped",0.00736819766150415,0.00664384840800587,0.901692478028553,0.0313643136224389,0.0311402365755823,0.992855668721017,0.0021814169154186,0.00160276051462058,0.734733696842644
