"method","theta_var_emp","theta_var_hat_mean","theta_ratio","y_minus_theta_var_emp_mean","y_minus_theta_var_hat_mean","y_minus_theta_ratio","ybar_minus_theta_var_emp","ybar_minus_theta_var_hat_mean","ybar_minus_theta_ratio"
"precision",0.00198420046170608,0.00557384578889347,2.80911424851746,0.0319309203610238,0.0301623724228071,0.944613311541891,0.000107750867922362,0.000466500312120028,4.32943438057648
"irls_fixed",0.00198420046170608,0.0059098667178938,2.97846252530972,0.0319309203610238,0.030455843020704,0.953804108254884,0.000107750867922362,0.000759970910016982,7.05303748053861
"irls_theta0",0.00198420046170608,0.00591473322245779,2.98091515278256,0.0319309203610238,0.0305260647822445,0.956003285752638,0.000107750867922362,0.000830192671557505,7.70474231498246
"psi_prime",0.00198420046170608,0.010588071958076,5.33619065332343,0.0319309203610238,0.0348638923810572,1.09185366368624,0.000107750867922362,0.0051680202703702,47.9626788166008
"psi_prime_clamped",0.00198420046170608,0.006496589240263,3.27415972611811,0.0319309203610238,0.0309447451105951,0.969115351537675,0.000107750867922362,0.00124887299990803,11.5903753165857
