"method","theta_var_emp","theta_var_hat_mean","theta_ratio","y_minus_theta_var_emp_mean","y_minus_theta_var_hat_mean","y_minus_theta_ratio","ybar_minus_theta_var_emp","ybar_minus_theta_var_hat_mean","ybar_minus_theta_ratio"
"precision",0.00750671490026028,0.00553272611564334,0.737036931488034,0.0299585771710257,0.028409249624257,0.948284341478433,0.00193654649976949,0.0004125403970293,0.21302891362454
"irls_fixed",0.00750671490026028,0.00581856349104728,0.775114489940937,0.0299585771710257,0.0287364922356616,0.959207510811093,0.00193654649976949,0.000739783008433985,0.382011487212954
"irls_theta0",0.00750671490026028,0.00591459725163089,0.787907537480319,0.0299585771710257,0.0287687986761806,0.960285881133371,0.00193654649976949,0.000772089448952901,0.39869398903915
"psi_prime",0.00750671490026028,0.0123637630206875,1.64702711971369,0.0299585771710257,0.0353491161547694,1.17993307736113,0.00193654649976949,0.00735240692754172,3.7966591189093
"psi_prime_clamped",0.00750671490026028,0.00655330242771193,0.872992049755973,0.0299585771710257,0.0294883814482647,0.984305138389024,0.00193654649976949,0.00149167222103708,0.770274414383871
