"method","theta_var_emp","theta_var_hat_mean","theta_ratio","y_minus_theta_var_emp_mean","y_minus_theta_var_hat_mean","y_minus_theta_ratio","ybar_minus_theta_var_emp","ybar_minus_theta_var_hat_mean","ybar_minus_theta_ratio"
"precision",0.00532344647088266,0.00559441567171867,1.05090108491146,0.032579175476942,0.0301600771602835,0.925747098223199,0.0020876169796337,0.000461485081516449,0.221058310034162
"irls_fixed",0.00532344647088266,0.00590748780574417,1.10971113132366,0.032579175476942,0.030529038672853,0.937072170364166,0.0020876169796337,0.000830446594086045,0.397796435930387
"irls_theta0",0.00532344647088266,0.0059713292822316,1.12170363971773,0.032579175476942,0.0305382766974108,0.937355726483143,0.0020876169796337,0.000839684618643741,0.402221588938731
"psi_prime",0.00532344647088266,0.0117508647940309,2.20737915902862,0.032579175476942,0.0364642539037836,1.11925036069717,0.0020876169796337,0.00676566182501655,3.24085399334301
"psi_prime_clamped",0.00532344647088266,0.00666607824331401,1.25221100273574,0.032579175476942,0.0313169814082614,0.961257642337391,0.0020876169796337,0.00161838932949439,0.775232882891363
